"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,0.0,0.0,2.6306168E-9,0.0,0.050007243,0.0037469987,0.042245142,2.392799E-8,0.0,2.319167E7,261.04242,0.0
3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.016280223,0.002512026,0.0582486,3.0733452,0.0,1.0081036E7,160.52841,0.0
3.0,2.2,0.0,0.0,0.0,0.0,3.7245957E-8,0.0,0.014160716,0.007370698,0.013579385,1.9851129,0.0,1.6086885E7,178.5904,0.0
3.0,2.3000002,0.0,4.909138E-6,0.0,0.0,0.026162181,0.0,0.04193238,0.004335274,0.0027329256,2.166921,0.0,1.2449785E7,229.67937,0.0
3.0,2.4,0.0,1.16819174E-4,0.0,0.0,0.043824147,0.0,6.6451693E-4,0.0013663931,0.010948044,0.42128563,0.0,9233819.0,220.72365,0.0
3.0,2.5,0.0,2.642175E-6,0.0,0.0,0.29836276,0.0,0.002163009,0.0024117872,0.032062743,0.15272151,0.0,6174366.0,374.2045,0.0
3.0,2.6,0.0,7.379916E-5,0.0,0.0,0.88883805,0.0,0.0035748163,0.0054851286,0.070314586,0.18289794,0.0,4169747.5,97.994675,0.0
3.0,2.7,0.0,0.0013614356,0.0,0.0,0.4039817,0.0,0.004760583,0.0057625477,0.5790777,0.8818229,1.0487721E-6,2251574.0,102.111595,0.0
3.0,2.8000002,0.0,0.0016822668,0.0,0.0,0.5316409,0.0,0.010899935,0.0054954365,0.046556976,0.87175363,5.1821157E-6,2260534.2,107.14242,0.0
3.0,2.9,0.0,0.00225943,0.0,0.0,0.46532887,0.0,0.023521164,0.009137768,0.029054461,1.0807823,3.178654E-8,2544618.5,104.6931,0.0
3.0,3.0,0.014485914,0.0050751534,40.889538,12934.136,4.7886868,1580.9421,0.024702493,0.019322237,0.4634918,10.576601,450.84143,1732362.2,265.73383,11579.272
3.0,3.1000001,1.4122565E-4,0.002592042,8.684668,2830.7004,0.5581052,295.97516,0.0,0.004407072,6.696961E-7,4.0514994,0.42540562,1021310.5,120.95377,2961.2683
3.0,3.2,0.16934557,0.13476054,474.9197,7049.6475,82.74136,760.26984,0.009709866,1.5313874,0.17342159,15.290215,178.76958,1795883.9,256.51535,5226.7407
3.0,3.3,2.4647105,0.49487507,537.96173,7306.4688,105.775826,680.96106,0.03202029,26.341936,6.239968,53.410778,6.9636602,761599.8,184.46762,12493.545
3.0,3.4,13.007901,0.64075726,842.8291,6823.987,123.02722,492.3216,0.11085529,9.338311,15.459955,6.2563787,36.808556,544950.5,405.0503,5271.5645
3.0,3.5,21.677982,3.994535,737.09357,6289.6465,120.33009,924.9604,0.6612765,14.669258,57.36139,1582.5428,2240.0603,452936.0,739.98193,14944.346
3.0,3.6000001,100.89628,3.556971,200080.75,5320.1646,9932.881,757.622,10.7887335,37.03003,153.00665,21668.822,34730.633,2118517.5,2637.7815,118647.34
3.0,3.7,248.60854,17.724718,42020.387,3059.3882,5325.718,655.13055,2.6962478,218.37828,395.69046,5797.5273,6511.8115,798343.75,474.09763,32049.197
3.0,3.8,728.62146,170.51326,101058.23,6607.449,22857.895,1087.4343,22.384996,723.35156,2462.3364,1123.8148,7070.0786,1124353.1,6.505403E-4,12167.946
3.0,3.9,307.00922,139.2502,69086.06,3174.7063,28842.45,593.7456,8491.684,6601.1772,504.29297,1028.2386,4631.898,1003958.44,105.13429,26760.508
3.0,4.0,10.2571335,0.09714676,2245.6616,2799.1174,650.1786,595.38306,12218.01,3.383794E-5,51.08643,2512.9712,3768.2488,8.931503E-4,78.59396,8599.52
3.0,4.1000004,10.486418,0.0,8202.248,1912.2294,170.0011,269.6173,0.0,0.0,33.11325,408.44626,1595.3568,132330.27,0.0011431244,8210.711
3.0,4.2,4.1108828,0.0017305532,4614.7676,4931.5264,116.93437,204.16501,0.0,0.10464146,70.08681,4306.4023,2000.1125,144503.8,0.0016799978,38348.855
3.0,4.3,4.071104,0.0,6465.7783,8092.998,233.19698,193.81209,5.7828426E-4,1.158172,99.085236,32197.273,6324.584,39928.676,41.743324,221230.89
3.0,4.4,17.99449,4.250304E-4,7683.324,13673.263,541.00244,313.25055,0.046934422,0.19875674,86.82706,1196.9983,456.0595,1311114.8,22.183207,15550.533
3.0,4.5,31.666191,0.0,10715.322,180987.22,1361.2649,14185.087,0.0,1.815408E-4,198.11932,2902.7832,3167.021,800305.44,0.3820792,12509.946
3.0,4.6000004,79.42948,0.062415376,19445.496,112723.09,2362.5022,10569.405,0.0,0.028028145,13.04778,7688.183,6944.3003,1071006.9,29.226402,54071.23
3.0,4.7,16.412317,0.057044048,14930.452,52561.668,728.82385,5519.979,6.352657E-5,0.6304506,31.109257,2195.8218,1753.8864,1394869.8,89.94383,46166.453
3.0,4.8,15.550892,0.078190535,9846.1455,56935.242,788.93256,4882.341,1.2648138,0.532954,39.369892,2388.4,2716.3984,444293.34,0.003909884,36891.223
3.0,4.9,59.930782,1.2071912,17282.178,34506.44,1805.9147,2423.8784,1.4874879,0.456863,132.4374,637.1703,3046.902,70472.53,0.31933123,35607.098
3.0,5.0,1.2715073,0.0,1929.1182,11345.097,165.21405,394.88046,0.0,0.0,0.0,463.39862,1103.9673,0.0,0.0,5368.148
3.0,5.1,1.10424,0.0,2744.4756,8896.889,0.021819554,892.55743,0.0,0.0,0.0,1224.6348,618.02515,0.0,0.0,11641.924
3.0,5.2000003,4.4675245,0.0,1957.4468,21427.25,549.1283,1337.0725,0.0,0.0,0.0,1254.1067,2884.3943,2.7376196E-5,0.0,47304.785
3.0,5.3,0.07623478,0.0,359.65573,4109.817,2.5836637E-4,418.0151,0.0,0.0,0.0,0.036404647,142.01283,0.0,0.0,13268.701
3.0,5.4,0.0,0.0,5.2987437,7752.2603,0.44974333,390.42334,0.0,0.0,0.0,0.00276218,1.7385045,0.0,0.0,2898.6987
3.0,5.5,0.2618688,0.0,33.327488,4931.0146,0.19421773,453.33398,0.0,0.0,0.0,29.462671,303.60388,0.0,0.0,2840.9934
3.0,5.6,1.9996914,0.0,373.16562,7380.861,3.7186544,181.03493,0.0,0.0,0.0,2.8707003E-4,2.5050316,0.0,0.0,9200.603
3.0,5.7000003,0.0,0.0,5.282633,2061.1128,3.406463E-4,319.26297,0.0,0.0,0.0,0.02583424,2.7813494,0.0,0.0,3668.5173
3.0,5.8,0.0,0.0,0.0080412775,2363.329,0.0,21.010914,0.0,0.0,0.0,0.0,1.5619475,0.0,0.0,4217.681
3.0,5.9,0.17174146,0.0,18.454983,6971.2656,3.3108406,388.47705,0.0,0.0,0.0,9.952139E-6,1.6303346,0.0,0.0,10347.803
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0,0.0,0.0,4.759447E-10,0.0,0.04904039,0.0028863223,0.0018815354,0.39262152,0.0,2.5134036E7,105.02133,0.0
4.0,2.1,0.0,0.0,0.0,0.0,0.007904487,0.0,0.052549433,0.0067213085,2.814608E-7,3.5191286,0.0,8518987.0,65.484764,0.0
4.0,2.2,0.0,0.0,0.0,0.0,0.026171472,0.0,0.048528276,0.012906786,9.550832E-8,6.841456,0.0,1.3630444E7,166.34595,0.0
4.0,2.3000002,0.0,5.015023E-7,0.0,0.0,0.022715498,0.0,0.036659766,0.035413437,0.003853412,17.721743,0.0,1.467858E7,205.98064,0.0
4.0,2.4,0.0,0.0014462286,0.0,0.0,0.028887266,0.0,0.051305704,0.006195386,0.0020458123,6.7394056,0.0,4562142.0,63.3028,0.0
4.0,2.5,0.0,8.275216E-6,0.0,0.0,0.06503486,0.0,0.0069993604,0.014700732,0.018271832,6.9930954,0.0,4855779.0,47.855137,0.0
4.0,2.6,0.0,0.006128382,0.0,0.0,0.12864968,0.0,0.012282945,0.015515673,0.0070426897,14.511513,0.0,5675319.5,65.745895,0.0
4.0,2.7,0.0,9.112376E-4,0.0,0.0,0.21537946,0.0,0.016310766,0.0053900937,0.037846386,27.82023,0.0,3115302.5,19.956747,0.0
4.0,2.8000002,0.0,0.0023855714,0.0,0.0,0.106835015,0.0,0.07455357,0.007433316,0.024201445,16.145302,2.4925117E-4,2160263.8,96.08031,0.0
4.0,2.9,0.0,0.0033744099,0.0,0.0,0.15889531,0.0,0.1606454,0.022657586,0.015453804,31.88984,2.9318526E-6,2172149.2,52.56192,0.0
4.0,3.0,0.9276111,0.005571418,149.19695,10725.8125,15.730592,2450.9353,0.1870737,0.075826734,0.0091258325,425.4282,293.1814,2342740.8,22.151861,4932.252
4.0,3.1000001,2.193749,1.8080986E-4,19.488924,4344.537,0.16282314,1300.2896,0.0,0.027458599,0.0,62.762276,6.032102,2368963.2,73.95123,414.57422
4.0,3.2,1.8383969,0.013434249,220.04817,5647.6704,10.743917,1171.9828,0.0,0.52424246,1.048477E-4,37.047,30.89512,1616593.0,100.35212,3883.68
4.0,3.3,0.71200883,0.57793695,120.65314,7064.436,55.890747,884.3947,0.2093628,1.8907578,1.3296399,109.10674,30.689314,1483697.2,139.7912,4669.9487
4.0,3.4,9.183757,2.2743514,144.45088,5477.5864,2.916483,1799.4598,0.6803231,8.890778,9.073926,76.7966,625.22235,491593.2,128.91092,1124.1088
